NO,NAMA RUMAH,HARGA,LB,LT,KT,KM,GRS
1,"Rumah Murah Hook Tebet Timur, Tebet, Jakarta Selatan",3800000000,220,220,3,3,0
2,"Rumah Modern di Tebet dekat Stasiun, Tebet, Jakarta Selatan",4600000000,180,137,4,3,2
3,"Rumah Mewah 2 Lantai Hanya 3 Menit Ke Tebet, Tebet, Jakarta Selatan",3000000000,267,250,4,4,4
4,"Rumah Baru Tebet, Tebet, Jakarta Selatan",430000000,40,25,2,2,0
5,"Rumah Bagus Tebet komp Gudang Peluru lt 350m, Tebet, Jakarta Selatan",9000000000,400,355,6,5,3
6,"Rumah Mewah Modern Murah 3 lantai di Tebet Jakarta Selatan, Tebet, Jakarta Selatan",4970000000,300,154,5,3,3
7,"Rumah lama di Tebet, dekat MT Haryono dan tol dalam kota, jalan 1 mobil hanya 30M dr jln besar, Tebet, Jakarta Selatan",2600000000,120,150,3,2,1
8,"RUMAH BAGUS KEREN JALAN LEBAR DI AREA & KAWASAN TERBAIK TEBET, Tebet, Jakarta Selatan",10500000000,350,247,4,4,0
9,"Minimalis Baru Jalan 1 Mobil Akses Mudah Dekat ke Jalan Lebar, Tebet, Jakarta Selatan",3250000000,125,90,3,3,0
10,"Minimalis Baru Jalan 2 Mobil Tebet Timur, Tebet, Jakarta Selatan",4500000000,250,96,5,4,1
11,"Brand New house di Tebet Barat, Tebet, Jakarta Selatan",3600000000,154,110,3,3,3
12,"Rumah Mewah di TEBET, Tebet, Jakarta Selatan",9500000000,450,240,4,4,1
13,"Rumah bagus di tebet, jakarta selatan, Tebet, Jakarta Selatan",10500000000,218,118,3,3,2
14,"#BAWAHNJOP#MURAH#CASHONLY#LELANG# RUMAH ASEM BARIS RAYAI COCOK UNTUK USAHA DEKAT SAAS, Tebet, Jakarta Selatan",12500000000,200,979,4,2,6
15,"Rukan Baru Siap Pakai di Tebet Jakarta Selatan, Tebet, Jakarta Selatan",4600000000,180,137,5,4,2
16,"Rumah bebas banjir di kebon baru tebet, Tebet, Jakarta Selatan",3000000000,126,144,4,2,2
17,"Rumah jalan 2 mobil, Tebet, Jakarta Selatan",6000000000,400,150,5,4,1
18,"Rumah standard hitung tanah di tebet dalam jakarta selatan, Tebet, Jakarta Selatan",7500000000,150,253,5,2,2
19,"RUMAH MEWAH CANTIK DI MENTENG DALAM TEBET JAKARTA SELATAN, Tebet, Jakarta Selatan",18000000000,200,251,5,3,3
20,"BRAND NEW 3 LANTAI DENGAN FASILITAS KOLAM RENANG DI TEBET - JAKSEL, Tebet, Jakarta Selatan",9700000000,450,248,5,5,4
21,"Rumah mewah 2 Lantai Murah full furnished bebas banjir di lokasi strategis rasamala tebet jakarta selatan, Tebet, Jakarta Selatan",14000000000,300,700,8,5,2
22,"Rumah di Tebet timur, Tebet, Jakarta Selatan",8000000000,315,218,7,3,2
23,"Rumah di Tebet, kebon baru, Tebet, Jakarta Selatan",700000000,75,75,2,3,0
24,"Rumah di Tebet , kebon baru , jakarta selatan, Tebet, Jakarta Selatan",5500000000,350,230,5,5,3
25,"Rumah 1.5 Lt Di Asem Baris Tebet Jakarta Selatan, Tebet, Jakarta Selatan",11000000000,650,695,9,6,2
26,"Rumah siap huni, Tebet, Jakarta Selatan",4000000000,250,199,8,2,2
27,"Rumah Baru, Bagus, di tebet Barat, Jajarta Selatan, Tebet, Jakarta Selatan",3900000000,210,130,3,4,2
28,"Rumah Minimalis Plus Mini Swimming Pool , Tebet, Tebet, Jakarta Selatan",6500000000,300,200,5,5,4
29,"Rumah Bagus Siap Huni, Tebet, Jakarta Selatan",5800000000,175,200,6,4,2
30,"Rumah Brand New Minimalis Elegan 2 Lantai Lokasi Strategis 5 Menit Ke Stasiun di Tebet, Tebet, Jakarta Selatan",3200000000,140,110,3,3,2
31,"Rumah Daerah Tebet, Tebet, Jakarta Selatan",8800000000,400,230,5,5,2
32,"Rumah Mewah Furnished Tebet Barat Swimming Poll Akses Patra Kuningan, Tebet, Jakarta Selatan",42000000000,900,600,7,7,1
33,"Rumah pinggir jalan daerah tebet masuk mobil, Tebet, Jakarta Selatan",1100000000,102,102,2,1,0
34,"Rumah mewah hook siap huni dan terawat di gudang peluru tebet, Tebet, Jakarta Selatan",10900000000,646,428,5,5,2
35,"Rumah tebet, Tebet, Jakarta Selatan",3600000000,145,200,8,8,1
36,"Rumah baru Minimalis, Tebet, Jakarta Selatan",4000000000,220,120,4,4,3
37,"Rumah mewah murah dalam komplek di tebet, Tebet, Jakarta Selatan",6000000000,325,222,6,5,0
38,"Rumah Minimalis 3 Lantai lokasi strategis bebas banjir ada mini kolam renang di tebet jakarta selatan, Tebet, Jakarta Selatan",6500000000,300,200,5,5,1
39,"Rumah Siap Huni Hadap Timur di Tebet, Tebet, Jakarta Selatan",4500000000,250,154,6,3,1
40,"Rumah Minimalis di Tebet Jakarta Selatan, Tebet, Jakarta Selatan",4500000000,247,105,5,5,1
41,"rumah 2 lantai , jalan depan 1 mobil , SHM , Tebet timur , Jakarta Selatan, Tebet, Jakarta Selatan",4000000000,200,140,4,4,2
42,"FATHUR TEBET RUMAH BAGUS lt 90m2 LOKASI BAGUS. HUB FATHUR:0818398080, Tebet, Jakarta Selatan",2600000000,150,90,3,2,2
43,"Rumah tua layak huni, HITUNG TANAH di Tebet Barat, Jakarta Selatan, Tebet, Jakarta Selatan",5500000000,210,239,8,5,1
44,"Di Juaal Cepat Rumah Mewah Di Menteng Dalam Fully Furnished dan Bangun Kualitas Terbaik hrg 15 M, Tebet, Jakarta Selatan",15000000000,339,643,7,5,5
45,"Rumah 2 Lt bagus dan TERMURAH Akses Jalan 2 Mobil di Tebet Utara, Tebet, jakarta Selatan, Tebet, Jakarta Selatan",3500000000,190,100,5,4,2
46,"Rumah tebet jakarta selatan, Tebet, Jakarta Selatan",6000000000,450,240,9,9,0
47,"RUMAH MURAH DI JAKARTA SELATAN, Tebet, Jakarta Selatan",8000000000,300,232,6,5,0
48,"Rumah Layak Huni, Tebet, Jakarta Selatan",9500000000,352,305,4,3,0
49,"Rumah Modern Minimalis 3 Lantai Full Furnished di Tebet Jakarta Selatan, Tebet, Jakarta Selatan",4300000000,135,146,6,6,1
50,"TEBET RUMAH MURAH 135m HUB FATHUR: 0818398080-PR 22726, Tebet, Jakarta Selatan",3800000000,200,135,3,4,0
51,"Rumah baru & mewah di Tebet Jaksel, Tebet, Jakarta Selatan",41000000000,850,600,7,7,0
52,"Rumah Tebet Dalam Jakarta Selatan, Tebet, Jakarta Selatan",4000000000,190,175,4,2,1
53,"rumah lama layak huni strategis dekat jalan tebet raya, Tebet, Jakarta Selatan",2500000000,120,90,4,1,1
54,"Rumah Huk, Tebet ,SHM+IMB ,menteng dalem , jakarta Selatan, Tebet, Jakarta Selatan",4750000000,180,196,5,5,1
55,"Rumah di tebet, Jakarta Selatan, dekat tol, Tebet, Jakarta Selatan",23000000000,750,610,8,6,4
56,"Rumah Cantik 3 Lt @Brand New Akses Jalan 2 Mobil TERMURAH di Tebet Timur, Tebet, Jakarta Selatan",4400000000,250,96,6,5,2
57,"Rumah cantik, minimalis , strategis & murah di Tebet, Tebet, Jakarta Selatan",4500000000,220,140,5,4,2
58,"hunian asri diselatan jakarta, Tebet, Jakarta Selatan",5000000000,250,180,5,3,2
59,"Rumah Mewah Cantik Asri Siap Huni Di Gudang Peluru Tebet Jakarta Selatan, Tebet, Jakarta Selatan",13000000000,200,393,5,3,1
60,"Rumah ditebet barat1, Tebet, Jakarta Selatan",4150000000,216,135,5,4,1
61,"Rumah Tebet Barat Dalam XB, Tebet, Jakarta Selatan",3800000000,260,130,6,3,2
62,"Rumah Tercantik dilokasi strategis, Tebet, Jakarta Selatan",18000000000,300,410,5,3,0
63,"Rumah Bagus dan Minimalis Tebet, Tebet, Jakarta Selatan",8100000000,245,240,3,3,2
64,"Rumah terawat siap huni bagus jalanan dua mobil di Tebet, Tebet, Jakarta Selatan",5250000000,147,108,4,3,2
65,"Rumah Asri Dan Sangat Strateaigis Di Tebet, Tebet, Jakarta Selatan",4500000000,120,145,6,4,2
66,"Rumah Lokasi Strategis Dekat Jalan Raya di Tebet, Tebet, Jakarta Selatan",6200000000,170,200,8,5,2
67,"rumah tebet, bonus apartemen dan mobil, Tebet, Jakarta Selatan",6500000000,250,200,6,3,2
68,"Rumah Baru Murah di Tebet Timur Jakarta Selatan, Tebet, Jakarta Selatan",3500000000,170,112,4,5,2
69,"Rumah Terawat Akses One Get One, Tebet, Jakarta Selatan",3199000000,150,149,3,2,0
70,"Rumah Tebet Jalan 2 Mobil Lokasi Strategis, Tebet, Jakarta Selatan",3200000000,150,130,3,2,1
71,"RUMAH BARU MURAH SIAP HUNI DI TEBET TIMUR JAKRTA - YUNIA , 081282940124, Tebet, Jakarta Selatan",3799000000,200,130,3,3,1
72,"Rumah Bagus, Siap Huni, Tebet, Jakarta Selatan",6000000000,250,198,7,4,2
73,"Rumah Second Hook Lokasi Premium Di Tebet - YUNIA 081282940124, Tebet, Jakarta Selatan",9790000000,403,393,5,3,2
74,"rumah tinggal tempati., Tebet, Jakarta Selatan",5500000000,170,270,6,3,1
75,"Rumah Tebet Murah Lokasi Strategis Ramai Jakarta Selatan, Tebet, Jakarta Selatan",3350000000,120,135,4,3,1
76,"rumah dua lantai kebon baru TEBET JAKARTA SELATAN, Tebet, Jakarta Selatan",750000000,78,80,3,2,0
77,"RUMAH TEBET 165m2 SIAP HUNI HUB : 081280069222 FIFI PR-15815, Tebet, Jakarta Selatan",3500000000,250,165,6,4,2
78,"Rumah Baru Minimalis daerah Tebet Timur, Tebet, Jakarta Selatan",4700000000,180,137,4,3,2
79,"Rumah baru 2 lantai siap huni di tebet dengan harga terjangkau, Tebet, Jakarta Selatan",3500000000,170,112,3,4,1
80,"RUMAH KOKOH AMAN DAN STRATEGIS DI TEBET, Tebet, Jakarta Selatan",2850000000,160,90,4,2,1
81,"Rumah baru di Tebet Posisi hoek, Tebet, Jakarta Selatan",3500000000,160,110,3,3,2
82,"rumah cantik di Tebet, Tebet, Jakarta Selatan",3100000000,120,137,5,2,0
83,"Rumah Tebet Mas Indah, Tebet, Jakarta Selatan, Tebet, Jakarta Selatan",13000000000,196,245,7,3,1
84,"Rumah 2 lantai ber carport 2 SHM di tebet jakarta selatan, Tebet, Jakarta Selatan",4300000000,170,112,4,5,2
85,"Tebet Rumah Siap Huni Aman Dalam Komplek, Tebet, Jakarta Selatan",5500000000,180,140,3,4,0
86,"Rumah Mewah 2 Lantai Siap Huni Desain Apik Di Tebet Barat Jakarta Selatan, Tebet, Jakarta Selatan",6750000000,350,210,4,4,1
87,"Rumah Lokasi Strategis Di Tebet, Tebet, Jakarta Selatan",3200000000,200,104,4,3,1
88,"Dijual Rumah Siap Huni di Komp Gudang Peluru, Tebet, Jakarta Selatan lt 282m2, Lebar Jalan 3 Mobil,Hubungi 0813-1838-1838 / 0878-7838-1838., Tebet, Jakarta Selatan",8250000000,460,282,6,5,2
89,"Rumah Tebet Dekat Stasiun Tebet, Tebet, Jakarta Selatan",3250000000,150,130,5,2,1
90,"Rumah Tebet, Tebet, Jakarta Selatan",3499000000,110,150,3,2,0
91,"Rumah Minimalis di Tebet Jakarta Selatan, Tebet, Jakarta Selatan",5000000000,330,335,8,4,1
92,"Rumah Mewah di Tebet Barat Jakarta Selatan, Tebet, Jakarta Selatan",9500000000,445,247,6,5,2
93,"Rumah second semi cluster di Tebet Timur Dalam Jaksel, Tebet, Jakarta Selatan",3400000000,140,104,4,3,1
94,"Rumah Bagus,Cantik Sangat Murah, Tebet, Jakarta Selatan",5000000000,325,160,9,6,2
95,"Rumah Di Kebon Baru, Tebet, Tebet, Jakarta Selatan",5600000000,250,225,5,3,2
96,"BEST PRICE Rumah di Tebet, akses jalan 2 mobil, Jakarta Selatan, Tebet, Jakarta Selatan",4500000000,180,135,4,3,1
97,"Rumah strategis di Kebon baru, Tebet, Jakarta Selatan",10800000000,500,400,6,5,3
98,"Rumah Termurah di Tebet Utara Jakarta Selatan, Tebet, Jakarta Selatan",2600000000,210,91,5,4,1
99,"Rumah Murah dibawah harga dekat Mal Kota Casablanca Jakarta Selatan, Tebet, Jakarta Selatan",3600000000,180,127,4,4,1
100,"brand new rumah minimalis di tebet dekat sekolah dan TOl, Tebet, Jakarta Selatan",3450000000,170,112,3,4,2
101,"Rumah 1,5 Lantai di Tebet Timur Jakarta Selatan, Tebet, Jakarta Selatan",7400000000,200,257,4,3,1
102,"Rumah Bagus di Menteng Dalam, Tebet, Jakarta Selatan",10000000000,400,282,8,4,3
103,"Rumah mewah bebas banjir murah di tebet, Tebet, Jakarta Selatan",15000000000,800,1225,6,9,2
104,"Rumah di tebet utara lt752 pinggir jalan raya, Tebet, Jakarta Selatan",30000000000,800,752,6,4,0
105,"Rumah minimalis di Tebet, Tebet, Jakarta Selatan",3500000000,170,108,5,3,3
106,"rumah siap huni 2lantai akses jalan 2mobil di asembaris tebet, Tebet, Jakarta Selatan",1700000000,100,80,3,2,0
107,"Rumah Strategis Dan Minimalis Di Tebet, Tebet, Jakarta Selatan",3500000000,250,141,5,3,2
108,"rumah siap huni akses jalan 2motor lokasi asembaris, Tebet, Jakarta Selatan",1300000000,100,90,3,2,0
109,"Rumah Tebet Barat 2Lantai siap huni strategis area!, Tebet, Jakarta Selatan",2800000000,160,90,5,3,1
110,"Rumah Cozy Interior Cantik Dekat Ke Jalan Raya di Kebon Baru Tebet, Tebet, Jakarta Selatan",5000000000,325,160,5,5,0
111,"Butuh Cepat, Rumah Bagus Di Tebet, Tebet, Jakarta Selatan",3200000000,150,80,5,3,1
112,"Rumah Siap Huni di Jl Tebet Raya,Lingkungan Tenang dan Nyaman, Untuk informasi lebih lanjut Hubungi 0813-1838-1838 / 0878-7838-1838, Tebet, Jakarta Selatan",11000000000,275,305,5,3,1
113,"Rumah bagus Full Furnish, Tebet, Jakarta Selatan",5000000000,320,150,5,5,1
114,"Rumah Bagus di Tebet Barat, Jakarta - Selatan, Tebet, Jakarta Selatan",2200000000,70,98,2,1,0
115,"Rumah Tua Di Tebet, Tebet, Jakarta Selatan",5600000000,156,192,5,2,2
116,Dijual Sangat Murah Rumah Di Tebet Timur Lokasi Premium Dan Strategis - Jakarta Selatan,3800000000,211,180,5,4,3
117,Rumah Lama Tebet Timur,4000000000,200,146,3,1,1
118,"Edisi Turun Harga Masa Covid19 BU Rumah Mewah di Menteng Dalam, Tebet, Jakarta Selatan. Full Furnish",15000000000,800,692,5,4,4
119,Rumah Dijual Tebet,3850000000,200,130,4,4,2
120,Rumah Siap Huni Jln 2 Mbl Nyaman,4200000000,160,140,4,3,2
121,TEBET BARAT - Rumah Besar Akses 2 Mobil. SHM,5990000000,350,210,5,4,3
122,Rumah siap huni di tebet timur jakarta selatan,4000000000,180,152,4,3,2
123,Rumah baru lux furnish di kawasan elit tebet jakarta selatan,42000000000,850,600,5,5,5
124,Rumah Baru Di Tebet,9500000000,340,240,4,3,2
125,Rumah siap huni baru di tebet jakarta selatan,4000000000,190,140,4,4,2
126,"Di Kebun Baru Rumah Terawat, Area Strategis",4000000000,139,230,4,4,1
127,Di jual Rumah Cantik Bangunan 2 Lantai di Tebet,7000000000,400,282,8,4,3
128,Rumah Tua di Tebet,4525000000,100,161,4,2,1
129,Di Jual Cepat Rumah Mewah Konsep Minimalis Modern Di Tebet Jak Sel,25000000000,485,550,5,6,2
130,Rumah Huni Di Kawasan Utama Tebet,19900000000,346,450,5,5,2
131,Rumah Lama Jalan Lebar,15000000000,400,578,6,3,2
132,Tebet Rumah Harga Menarik Jalan Dua Mobil Dekat Kasan Kuliner Tebet,3600000000,170,146,3,3,1
133,"Dijual Rumah Cantik Murah Siap Huni Di Tebet Timur, Tebet Jakarta Selatan",3950000000,200,148,4,3,1
134,Dijual Rumah Brand New di Jl Tebet Timur Dalam,3900000000,200,130,3,2,2
135,"TEBET - Siap Huni di Jalan 1 Mobil, Bagus",3850000000,236,137,4,3,2
136,Dijual Rumah Lokasi Sangat Strategis,9200000000,450,695,8,6,2
137,"TEBET Akses 3 Mobil, Rumah Siap Huni",5950000000,220,200,3,3,2
138,Dijual Cepat rumah di Bukit Duri Tebet SHM,7500000000,500,280,4,4,1
139,Dijual Rumah Tebet Timur Lokasi Premium Nyaman Dekat Taman Honda Jalan 1 Mobil,3100000000,200,103,3,3,1
140,Dijual Rumah Second Siap Huni Strategis di Tebet Jaksel,7000000000,400,182,4,3,2
141,Rumah Tua Hitung Tanah di menteng Dalam Tebet,25000000000,550,840,5,3,6
142,Dijual Rumah di Tebet,11000000000,280,344,3,3,2
143,Rumah baru siap huni di tebet jakarta selatan,4350000000,180,132,4,3,2
144,"Rumah Di Asem Baris, Tebet",25000000000,355,1069,5,4,4
145,Rumah Cantik Menawan Siap Huni Di Tebet Timur Jakarta Selatan,4300000000,250,155,5,3,2
146,TEBET Rumah Mewah Siap Huni Lingkungan Aman dan Nyaman,8800000000,400,230,6,6,2
147,"3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",13000000000,216,384,3,3,2
148,Di Jual Rumah Brand New Di Tebet,4700000000,250,150,4,3,2
149,TEBET Rumah Baru Siap Huni Jalan Dua Mobil Lebar Dekat Jalan Raya,7200000000,250,161,3,3,2
150,"Dijual Cepat Rumah Minimalis Modern siap huni Di Kebon Baru, Tebet Jakarta Selatan",3500000000,192,120,5,4,2
151,TEBET Rumah Mewah dan Terawat Lokasi Premium Akses Mudah Jalan Tiga Mobil,7900000000,380,225,5,3,2
152,"TEBET MENTENG DALAM - Rumah Cantik, Minimalis, SHM",2800000000,150,103,3,3,2
153,TEBET DALAM - Rumah Brand New Minimalis SHM,2600000000,130,75,3,3,1
154,"Rumah Siap Huni di Tebet Timur 1, Jalan Lebar 3 Mobil",5900000000,250,202,5,4,2
155,Dijual Rumah Sipa Huni Dengan Harga Murah di Kebon Baru Tebet Jakarta,850000000,78,69,4,2,0
156,jl. Tebet timur dalam,3600000000,250,180,4,2,0
157,Rumah Tebet Timur Hitung Tanah 338m2,6850000000,219,338,5,3,3
158,"Rumah Baru, Di Asembaris, Kebon Baru Tebet, Jakarta Selatan",4500000000,325,226,6,4,1
159,Rumah Layak Huni Di Tebet Jual Cpt Jalan 1 Mobil 30m Dari Jln Besar,2600000000,120,150,3,2,1
160,Rumah Mewah Di Komplek Kebon Baru,5750000000,350,240,7,5,0
161,Rumah Baru Renovasi Siap Huni Teebet (Best Price),2999000000,140,140,5,3,1
162,Rumah Cantik Brand New 3 lantai siap huni,5000000000,180,127,5,4,2
163,Rumah hoek di Tebet Barat,4000000000,200,135,7,4,2
164,Rumah brand new siap huni di Tebet Timur,3500000000,150,112,4,4,1
165,"The Classic Luxury House With Pool @Brand New near Cassablanca Area, Palbatu, Jakarta Selatan",6100000000,375,130,5,4,3
166,Rumah Super Mewah Tebet Jakarta Selatan Harga Siap Nego,30000000000,800,498,5,5,5
167,Rumah Siap Huni di Jl. Tebet Utara,6500000000,250,181,8,4,2
168,Rumah Minimalis Tebet Dekat Jalan 2 Mobil,3750000000,150,112,3,5,2
169,"Rumah Minimalis Tebet 2 Lantai Dekat Pusat Bisnis Tebet, Jaksel",6300000000,200,133,4,3,2
170,Rumah Siap Huni Dalam Komplek Nyaman Tebet-Jakarta Selatan,15000000000,480,387,4,4,3
171,"Rumah Minimalis Tebet 90 Meter, Dekat Jalan 2 Mobil",2650000000,125,90,3,4,2
172,"Rumah Siap Huni Dengan Luas Tanah 360 Meter Jalan Lebar, Bebas Banjir Tebet-Jakarta Selatan",18500000000,800,360,5,7,5
173,Rumah Mediterania Jalan Lebar Lokasi Strategis Tebet Jakarta Selatan,14500000000,500,307,3,4,2
174,"Rumah Cantik Siap Huni Jalan Lebar Di Kawasan Premium Tebet, Jaksel",8750000000,350,202,4,5,3
175,"Rumah Siap Huni Jalan 2 Mobil, Jarang Ada, Sertifikat Hak Milik",5800000000,200,138,5,4,2
176,"Rumah Siap Huni Di Tebet Timur, Jalan Lebar, Dengan Kolam Renang Outdoor",15000000000,250,310,4,5,2
177,"Rumah Hitung Tanah Di Jalan Lebar, Kawasan Nyaman, Paling Murah!!",15000000000,400,580,5,4,3
178,"Rumah Di Jalan 1 Mobil Kawasan Nyaman Tebet Timur, Jakarta Selatan",2300000000,100,90,2,2,1
179,"Tebet Barat Rumah Bagus Siap Huni, jakarta Selatan",3950000000,200,166,4,4,3
180,"Tebet Rumah Lama Murah, Jakarta Selatan",2750000000,120,135,3,2,1
181,"Tebet Barat Rumah Murah Strategis Area, Jakarta Selatan",3250000000,251,146,8,8,2
182,Rumah Cantik Siap Huni,2590000000,170,76,3,3,2
183,Regensi Tebet Mas,4500000000,140,140,5,4,2
184,Rumah bagus SIAP HUNI Akses Jalan 2 Mobil One Way di Tebet Timur,4500000000,200,148,5,4,2
185,"5 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",7150000000,250,162,5,3,2
186,Rumah Siap Huni Dijual Tebet Timur Tebet Jakarta Selatan,10500000000,200,189,5,2,0
187,"Rumah Bagus 2 Lt Akses Jalan Lebar di Tebet Utara, Jakarta Selatan",6500000000,245,125,4,3,3
188,Rumah mewah siap huni di tebet barat jakarta selatan,6750000000,350,210,4,4,1
189,Rumah Siap Huni Tebet Barat Tebet Jakarta Selatan,9500000000,280,304,5,5,0
190,Rumah Tebet Barat Dalam LT480 Jakarta Selatan,23000000000,480,600,10,4,2
191,"Rumah Siap Huni di Tebet Timur 1, Jalan Lebar 3 Mobil",6500000000,200,222,6,2,2
192,"Rumah di Tebet Utara Jalan 2 Mobil, Lingkungan Nyaman dan Lokasi Strategis Akses Mudah Dijangkau",3600000000,170,146,4,3,1
193,"Dijual Rumah Mewah 2 Lantai di Tebet Barat, Jalan 3 Mobil, Lingkungan Nyaman dan Aman",8800000000,400,230,6,6,2
194,"TEBET TIMUR LT 135 M2 - Rumah Termurah, Hitung Tanah Saja",1900000000,135,135,3,3,2
195,Rumah Mewah Brand New Jalan Utama Tebet Timur Dalam,29000000000,980,672,5,6,4
196,Rumah Termurah di Tebet Barat Jakarta Selatan,2550000000,150,90,4,4,2
197,Rumah Baru di Tebet Barat Jakarta Selatan,3300000000,120,90,5,4,2
198,TEBET Rumah Siap Huni Desain Rumah Rumah Bagus dan Nyaman,3100000000,200,90,3,3,1
199,TEBET BARAT Rumah Siap Huni Lokasi Premium Jalan Tiga Mobil,5950000000,220,200,5,4,1
200,TEBET Rumah Siap Huni Lokasi Sangat Bagus Aman dan Nyaman JARANG ADA,6100000000,250,204,5,3,2
201,TEBET Rumah Baru Siap Huni Lokasi Premium Nyaman Untuk Tempat Tinggal,3200000000,150,87,4,3,2
202,TEBET Rumah Siap Huni Kondisi Relatif Baru,2500000000,140,78,4,3,1
203,Brand New Townhouse Mewah Di Dekat Patra Kuningan,12500000000,600,208,4,5,4
204,"Rumah Besar,Siap Huni Di Tebet Jakarta Selatan",8000000000,152,230,3,3,1
205,Rumah Murah Siap Huni di Jl. Palbatu III Tebet,690000000,90,50,3,1,0
206,Rumah 2 Tingkat Menteng Dalam Tebet Jakarta Selatan,15000000000,500,501,6,3,0
207,Rumah Lama Hitung Tanah Supomo Tebet Jakarta Selatan,9000000000,200,230,6,3,2
208,Di Jual Di Bawah Harga Pasaran Rumah Siap Huni Di Tebet Timur Jaksel,4000000000,180,155,4,3,2
209,Dijual rumah di tebet jakarta selatan strategis dekat jl. mt. haryono,3750000000,200,135,5,3,3
210,Dijual Murah Rumah Mewah di Tebet Utara Jakarta Selatan,22000000000,1080,619,7,6,4
211,Rumah murah asem baris,2100000000,160,120,6,3,1
212,Rumah tebet,8700000000,160,261,4,4,2
213,"Rumah dijual, Tebet timur dalam, Jakarta Selatan ",2900000000,175,135,4,2,0
214,Di Jual Rumah Cantik di TEBET,3500000000,235,140,5,4,1
215,"Rumah pinggir jalan, Asem baris , Tebet , Jakarta Selatan",5500000000,170,270,6,3,1
216,Dijual rumah baru minimalis di Di Tebet Jakarta Selatan,3500000000,120,86,5,4,1
217,"Rumah Onprogress 2,5 Lantai Di Asem Baris Tebet Dekat Station Cawang",2500000000,200,100,3,3,2
218,Tebet Rumah Jalan 2 Mobil Harga Menarik,3600000000,170,146,4,3,2
219,"Dijual Cepat Rumah Di Kebon Baru, Tebet",2400000000,147,154,3,2,1
220,Dijual Cepat Rumah Bagus Di Tebet,38000000000,500,720,6,6,3
221,Rumah Asri Dijual Cepat Di Tebet,4900000000,179,158,4,4,2
222,Rumah Asri Di Tebet Dijual Cepat,3250000000,250,145,8,8,2
223,"Rumah Asri Di Tebet, Dijual Cepat",10000000000,600,306,6,5,3
